instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
45467735,19180,359574,130302,1,70,286720,0,0,0,5644247,0,0,1
49641770,7586,281494,176839,0,72,294912,0,0,0,5715872,0,0,1
20894970,29455,158703,173878,0,56,229376,0,0,0,4274273,0,0,1
3627875,13807,610580,145599,0,75,307200,0,0,0,6154457,0,0,1
76174685,30384,220468,188595,2,78,319488,0,0,0,5627620,0,0,1
92569210,8798,167675,149877,1,76,311296,0,0,0,7231047,0,0,1
46911246,25307,71762,139037,0,66,270336,0,0,0,5967871,0,0,1
21856342,15142,423074,115561,0,53,217088,0,0,0,4348700,0,0,1
22340420,31519,782500,86866,2,67,274432,0,0,0,4643013,0,0,1
20899889,27031,469454,98705,18,56,229376,0,0,0,4015807,0,0,1
33758538,17013,69237,163598,0,66,270336,0,0,0,5155977,0,0,1
22817679,44625,79797,77143,11,65,266240,0,0,0,4289750,0,0,1
18696747,12313,297918,126198,0,79,323584,0,0,0,5177154,0,0,1
11927653,9465,632844,30238,5,43,176128,0,0,0,3517329,0,0,1
11643329,9572,610872,55504,0,74,303104,0,0,0,4304178,0,0,1
32025706,9546,509109,5850,1,12,49152,13,1302528,0,31359731,112528010,0,1
109163384,12416,309906,7272,3,8,32768,22,2251776,0,32852715,275902426,0,1
33801000,18929,737186,13110,3,13,53248,34,3318272,0,48015789,362488385,0,1
33226824,5389,238523,100256,1,13,53248,72,6927872,0,27087033,209196523,0,1
67009240,7956,256571,78489,0,2,8192,55,5533696,0,32543518,258754784,0,1
78537693,11767,115014,114589,2,2,8192,37,3756032,0,39031728,241311993,0,1
79136162,22551,301932,98638,3,2,8192,49,5332992,0,27507594,205344189,0,1
104964941,8243,407783,86815,1,2,8192,4,521216,0,37611507,86362845,0,1
66633422,5994,401182,45339,2,44,180224,20,2233344,0,29781446,400345837,0,1
48956547,1951,149298,14284,0,81,331776,0,0,0,6101462,0,0,1
64149452,3485,285959,17995,1,69,282624,0,0,0,5731373,0,0,1
32198957,5838,211960,36052,0,48,196608,55,3137536,0,3467858,7168912,0,1
43505469,1845,354324,29874,0,48,196608,4,131072,0,4055956,772663,0,1
48151525,9752,233382,56945,1,66,270336,0,0,0,6206834,0,0,1
59302131,8949,301320,51548,1,77,315392,0,0,0,6673698,0,0,1
80647000,3037,88252,10123,0,64,262144,0,0,0,5198410,0,0,1
61203132,15030,94833,42243,1,76,311296,0,0,0,6306003,0,0,1
41997453,14410,226455,6071,0,30,122880,0,0,0,2341540,0,0,1
