,instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,Label
687,24484626,42349,966491,138200,38,13,787968,40,3914752,0,30475872,414112669,0,1
4512,72226855,3579,5247,457404,0,0,0,0,0,0,0,0,0,0
346,25271819,40219,1308730,136540,1,4,50176,56,6475776,0,11537392,177551356,0,1
701,23283086,45762,546518,136437,0,44,1673216,38,327680,4,4827693,2289714,3351540,1
3692,66314944,206,3337,434016,0,0,0,0,0,0,0,0,0,0
396,26534267,39180,1187372,135695,0,42,996352,61,7264768,0,2856121,149578310,0,1
946,49096545,13898,1214664,25856,0,9,730112,53,4253696,0,58782261,432672889,0,1
4773,74523035,8916,5838,372167,0,0,0,0,0,0,0,0,0,0
1987,27110247,17374,988776,87180,4,0,0,67,6604800,0,0,251855518,0,1
4519,70320166,3942,12074,423417,0,0,0,2,147456,0,0,7801624,0,0
1512,18020960,18684,166405,5879,0,46,4297216,0,0,0,4259724,0,0,1
4624,73791553,15768,5663,531822,0,0,0,2,8192,0,0,159347,0,0
5194,65901254,690,12006,480749,0,0,0,0,0,0,0,0,0,0
4251,30999718,4011,4059,584369,0,0,0,0,0,0,0,0,0,0
1182,74149934,28364,405791,47897,1,67,5961728,0,0,0,7685938,0,0,1
3775,75953058,8078,9246,364045,0,0,0,0,0,0,0,0,0,0
4799,84404447,4614,39692,428180,0,0,0,0,0,0,0,0,0,0
2019,62592687,10094,597628,127164,1,54,248832,1,4096,0,4689394,644630,0,1
3276,105310529,7470,6354,130865,0,0,0,0,0,0,0,0,0,0
3126,87034329,238,3738,181747,0,0,0,0,0,0,0,0,0,0
4986,72708721,23905,13700,423954,0,0,0,0,0,0,0,0,0,0
2471,29344165,13538,523096,106097,0,3,12288,81,7772160,0,38392656,758581324,0,1
4680,82388205,9636,9956,304332,0,0,0,17,2097152,0,0,82432368,0,0
2188,35491991,449,898922,6084,0,37,151552,0,0,0,2294749,0,0,1
205,23118666,33492,1410993,127849,0,206,5347840,1,4096,0,9200496,44523,0,1
4744,84805128,1269,9023,496880,0,0,0,0,0,0,0,0,0,0
3588,67056706,509,111703,445283,2,0,0,0,0,0,0,0,0,0
3932,55438620,979,3530,324204,1,0,0,0,0,0,0,0,0,0
1853,36904668,36774,721941,97512,5,38,2735616,16,270336,0,20445466,9226589,0,1
509,35889895,40150,1356404,123489,0,11,45056,172,20481024,0,355289,229291254,0,1
5033,78547321,5171,10239,319329,1,0,0,0,0,0,0,0,0,0
5441,74438920,448,7077,463670,0,0,0,0,0,0,0,0,0,0
2409,34669578,24353,528516,167519,9,50,205312,1,4096,0,4413703,65075,0,1
2577,26684496,17025,763374,130100,0,4,16384,2,8192,0,299875,521517,0,1
3210,101694464,404,5619,102001,0,0,0,0,0,0,0,0,0,0
867,46864545,31793,565989,74800,5,26,819200,55,557056,6,3556782,3616598,2688211,1
5587,67057169,9359,3775,525861,0,0,0,1,4096,0,0,87434,0,0
1420,33055325,14062,150415,12972,3,23,2340864,44,4836864,0,69522576,656997988,0,1
2213,44426282,19909,1337380,171497,6,18,84480,0,0,0,1675526,0,0,1
1595,389790,42918,1045401,130778,1,0,0,7,853504,0,0,1988674,0,1
4778,68337252,12627,34158,388196,1,0,0,16,2097152,0,0,67338696,0,0
64,26212122,31174,1313804,120730,1,81,360448,0,0,0,4488509,0,0,1
